source,building_id,longitude,latitude,height_m,층수,용도,종류
map1,0,227455.54566666667,380861.5123333333,3.0,1,기타시설,무벽건물
map1,1,228197.2862085101,380862.5457224422,3.0,1,교육연구시설,무벽건물
map1,2,229293.47473359038,380706.68524459127,3.0,1,근린생활시설,무벽건물
map1,3,228205.58969864907,380862.7746631556,3.0,1,교육연구시설,무벽건물
map1,4,228352.07166666668,380863.872,3.0,1,교육연구시설,무벽건물
map1,5,228414.5457923795,380863.03565276536,3.0,1,교육연구시설,주택외건물
map1,6,228437.45898976267,380851.7426876223,3.0,1,교육연구시설,주택외건물
map1,7,228494.14589503387,380850.1667420504,6.0,2,교육연구시설,주택외건물
map1,8,228397.21577657296,380837.2062010555,12.0,4,교육연구시설,주택외건물
map1,9,228932.02709606796,380770.5290458721,6.0,2,교육연구시설,주택외건물
map1,10,229298.83801535532,378776.87394045235,12.0,4,주택,연립주택
map1,11,229300.43066666665,378785.25200000004,3.0,1,주택,일반주택
map1,12,229299.90207460406,378630.7427963759,3.0,1,위험물저장및처리시설,주택외건물
map1,13,229296.99685180062,378770.64415351214,3.0,1,주택,일반주택
map1,14,229300.90966666662,378721.8016666667,3.0,1,주택,일반주택
map1,15,229292.19482359322,378789.21998756507,3.0,1,주택,일반주택
map1,16,229283.9317352604,379645.19187165465,15.0,5,주택,연립주택
map1,17,229290.21406554093,379506.79639610514,15.0,5,교육연구시설,주택외건물
map1,18,229294.06973966974,378877.5005525498,6.0,2,주택,일반주택
map1,19,229296.29798162033,378827.0963576396,3.0,1,주택,일반주택
map1,20,229296.45798305233,378831.76332823694,3.0,1,기타시설,무벽건물
map1,21,229299.76266666668,378809.30833333335,3.0,1,주택,일반주택
map1,22,229296.727,379928.1319999999,15.0,5,주택,연립주택
map1,23,229275.94860775874,380621.8296362708,57.0,19,주택,아파트
map1,24,228755.67675080043,380833.79459883884,3.0,1,교육연구시설,주택외건물
map1,25,229277.25722521116,378890.8989161269,12.0,4,주택,연립주택
map1,26,227438.39420431887,380367.5885482453,3.0,1,근린생활시설,가건물
map1,27,227631.80675338802,378433.5450847591,3.0,1,기타시설,무벽건물
map1,28,228603.53449999998,379270.2,3.0,1,기타시설,무벽건물
map1,29,228273.00199999998,379874.02849999996,3.0,1,기타시설,가건물
map1,30,228285.862,378988.24900000007,3.0,1,근린생활시설,무벽건물
map1,31,228226.694,378864.29600000003,3.0,1,근린생활시설,무벽건물
map1,32,228141.83008727783,378955.6797937677,3.0,1,기타시설,가건물
map1,33,228207.61399999994,378923.19099999993,3.0,1,기타시설,가건물
